metric,baseline,fito_mean,baseline_mean,mann_whitney_u,p_value,fito_better,holm_p_value
migd,DNSGA-II-A,0.0009867282451321668,0.0010617130957914168,124.0,0.04112359406047486,True,0.04112359406047486
migd,DNSGA-II-B,0.0009867282451321668,0.0011696409433014393,50.0,5.254954014186182e-05,True,0.00010509908028372364
migd,KGB-DMOEA,0.0009867282451321668,0.0012970039407287919,0.0,6.79561512817336e-08,True,2.718246051269344e-07
migd,NSGA-II,0.0009867282451321668,0.0012180544766182714,26.0,2.68976868945904e-06,True,8.06930606837712e-06
mhv,DNSGA-II-A,0.44363952734107226,0.4148592905533584,295.0,0.010581211443165648,True,0.010581211443165648
mhv,DNSGA-II-B,0.44363952734107226,0.3840875634573938,368.0,5.873574095711031e-06,True,1.1747148191422063e-05
mhv,KGB-DMOEA,0.44363952734107226,0.3482479436724446,400.0,6.79561512817336e-08,True,2.718246051269344e-07
mhv,NSGA-II,0.44363952734107226,0.37599917643849723,378.0,1.575674219696402e-06,True,4.727022659089206e-06
final_wealth,DNSGA-II-A,39.666785691743414,34.60890054634076,290.0,0.015478602442838574,True,0.015478602442838574
final_wealth,DNSGA-II-B,39.666785691743414,27.10185887195655,364.0,9.747975903084569e-06,True,1.9495951806169137e-05
final_wealth,KGB-DMOEA,39.666785691743414,21.728347741551463,398.0,9.172772711656482e-08,True,3.669109084662593e-07
final_wealth,NSGA-II,39.666785691743414,24.832044441485085,392.0,2.2177643300922434e-07,True,6.653292990276731e-07
mean_net_return,DNSGA-II-A,0.11666380389727046,0.10798371890313807,333.0,0.0003381948100293378,True,0.0003381948100293378
mean_net_return,DNSGA-II-B,0.11666380389727046,0.10035807865242848,363.0,1.1044712116768222e-05,True,2.2089424233536445e-05
mean_net_return,KGB-DMOEA,0.11666380389727046,0.09027233754706204,399.0,7.898033666674663e-08,True,3.159213466669865e-07
mean_net_return,NSGA-II,0.11666380389727046,0.09463358266874013,396.0,1.2346350154956704e-07,True,3.703905046487011e-07
mean_turnover,DNSGA-II-A,0.3576303249067007,0.34282478193669136,256.0,0.1332831707493199,False,0.1332831707493199
mean_turnover,DNSGA-II-B,0.3576303249067007,0.3145495562132979,335.0,0.00027451078428318386,False,0.0008235323528495515
mean_turnover,KGB-DMOEA,0.3576303249067007,0.3304424566624618,306.0,0.0043201840403311225,False,0.008640368080662245
mean_turnover,NSGA-II,0.3576303249067007,0.032636022760908,400.0,6.79561512817336e-08,False,2.718246051269344e-07
